CustomerID,OrderID,OrderDate,Returned,ShipDate,SalesPersonID,ShipModeID,RegionID
BD-11635,CA-2017-109589,2017-12-21,Not,2017-12-24,4,3,61
SK-19990,CA-2017-119193,2017-12-22,Not,2017-12-24,3,3,62
CM-12115,CA-2017-149699,2017-12-22,Not,2017-12-24,2,3,31
TT-21460,CA-2017-158736,2017-12-18,Not,2017-12-24,2,1,9
HE-14800,CA-2017-143252,2017-12-18,Not,2017-12-24,1,1,63
GZ-14470,US-2017-123463,2017-12-23,Not,2017-12-23,2,4,64
RA-19915,CA-2017-140585,2017-12-18,Yes,2017-12-23,2,2,65
DB-13660,CA-2017-105886,2017-12-18,Not,2017-12-23,3,1,35
RD-19810,CA-2017-104381,2017-12-16,Not,2017-12-23,3,1,29
TS-21505,CA-2017-116946,2017-12-19,Not,2017-12-23,2,1,66
AT-10735,CA-2017-103443,2017-12-17,Not,2017-12-23,3,1,5
BP-11290,CA-2017-156664,2017-12-18,Not,2017-12-23,3,1,26
VF-21715,CA-2017-107342,2017-12-17,Not,2017-12-22,1,1,1
AH-10030,CA-2017-164000,2017-12-18,Not,2017-12-22,3,1,67
LC-17140,US-2017-116701,2017-12-17,Not,2017-12-21,1,2,48
LC-17140,CA-2017-133431,2017-12-17,Not,2017-12-21,2,1,68
AY-10555,CA-2017-137428,2017-12-16,Yes,2017-12-21,2,2,69
AI-10855,CA-2017-116855,2017-12-17,Not,2017-12-21,4,1,70
AC-10450,CA-2017-158729,2017-12-19,Yes,2017-12-21,4,3,36
RB-19465,CA-2017-137456,2017-12-21,Not,2017-12-21,1,4,51
GB-14575,CA-2017-130309,2017-12-17,Not,2017-12-21,4,1,71
CA-12310,CA-2017-120936,2017-12-17,Not,2017-12-21,2,1,2
RB-19465,CA-2017-161578,2017-12-16,Not,2017-12-21,2,2,72
DP-13105,CA-2017-155362,2017-12-17,Not,2017-12-21,1,1,73
HR-14770,CA-2017-106964,2017-12-17,Not,2017-12-20,2,3,74
AR-10510,CA-2017-111808,2017-12-16,Not,2017-12-20,1,1,75
GM-14455,CA-2017-122595,2017-12-14,Not,2017-12-20,1,1,76
PL-18925,CA-2017-119564,2017-12-15,Not,2017-12-20,2,1,77
KL-16555,CA-2017-147333,2017-12-14,Not,2017-12-20,4,1,78
AG-10330,CA-2017-108287,2017-12-18,Not,2017-12-20,4,3,79
KM-16225,CA-2017-137463,2017-12-16,Not,2017-12-20,2,2,80
EP-13915,CA-2017-102099,2017-12-18,Not,2017-12-19,2,3,31
SS-20140,CA-2017-136063,2017-12-15,Not,2017-12-19,1,1,81
LC-16885,US-2017-113992,2017-12-14,Not,2017-12-19,1,1,82
KM-16660,CA-2017-154116,2017-12-15,Not,2017-12-19,2,1,83
MP-18175,CA-2017-169859,2017-12-14,Yes,2017-12-18,2,1,84
KN-16390,CA-2017-129581,2017-11-12,Not,2017-12-18,3,1,38
BF-11170,CA-2017-151799,2017-12-14,Not,2017-12-18,3,1,85
BP-11095,CA-2017-135377,2017-12-13,Not,2017-12-18,3,1,3
EP-13915,CA-2017-122770,2017-12-13,Not,2017-12-18,2,1,68
BP-11185,CA-2017-167150,2017-10-12,Not,2017-12-17,2,1,86
AI-10855,US-2017-160759,2017-11-12,Not,2017-12-17,3,1,87
DV-13045,CA-2017-168389,2017-11-12,Not,2017-12-17,4,1,88
RB-19435,CA-2017-153871,2017-11-12,Not,2017-12-17,3,1,89
LH-16900,US-2017-103814,2017-09-12,Not,2017-12-16,1,1,90
MV-18190,CA-2017-101798,2017-11-12,Not,2017-12-15,3,1,5
HF-14995,CA-2017-129833,2017-09-12,Not,2017-12-15,1,1,91
SU-20665,CA-2017-148922,2017-10-12,Not,2017-12-15,4,2,92
KM-16225,CA-2017-148012,2017-09-12,Not,2017-12-15,3,1,93
AA-10375,CA-2017-100230,2017-11-12,Not,2017-12-15,3,1,22
JE-16165,US-2017-135503,2017-10-12,Not,2017-12-15,4,1,94
EG-13900,US-2017-167570,2017-08-12,Not,2017-12-15,3,1,95
RD-19720,US-2017-132927,2017-09-12,Not,2017-12-15,3,1,67
LW-17215,CA-2017-102659,2017-09-12,Not,2017-12-15,1,1,4
LE-16810,CA-2017-108329,2017-09-12,Not,2017-12-14,2,1,96
HA-14920,CA-2017-157651,2017-10-12,Not,2017-12-14,3,1,87
MC-17845,CA-2017-148446,2017-10-12,Not,2017-12-14,2,2,97
AH-10585,CA-2017-109715,2017-09-12,Not,2017-12-14,1,1,98
DM-13345,CA-2017-108854,2017-08-12,Not,2017-12-14,2,1,64
DB-13060,CA-2017-107629,2017-12-14,Not,2017-12-14,1,4,99
RS-19870,CA-2017-142776,2017-11-12,Not,2017-12-14,1,2,15
TC-21535,CA-2017-142328,2017-07-12,Yes,2017-12-14,2,1,68
CA-12310,US-2017-145366,2017-09-12,Not,2017-12-13,3,1,100
DK-12835,CA-2017-139199,2017-09-12,Not,2017-12-13,1,1,101
AT-10435,CA-2017-102407,2017-09-12,Not,2017-12-13,2,2,102
HG-14965,US-2017-122714,2017-07-12,Not,2017-12-13,1,1,76
JP-15520,CA-2017-117324,2017-08-12,Not,2017-12-13,1,1,103
MW-18220,CA-2017-107986,2017-12-13,Not,2017-12-13,2,4,11
NC-18535,CA-2017-139402,2017-09-12,Not,2017-12-13,2,1,104
DK-13375,CA-2017-165099,2017-11-12,Not,2017-12-13,1,3,105
WB-21850,US-2017-110149,2017-10-12,Not,2017-12-13,3,3,93
NB-18655,US-2017-125213,2017-11-12,Not,2017-12-13,3,3,34
KH-16510,CA-2017-117457,2017-08-12,Not,2017-12-12,2,1,9
AW-10840,CA-2017-143798,2017-10-12,Not,2017-12-12,3,3,95
BT-11680,CA-2017-158967,2017-10-12,Not,2017-12-12,4,3,106
BP-11185,US-2017-140907,2017-10-12,Not,2017-12-12,2,2,11
DS-13180,CA-2017-134285,2017-07-12,Not,2017-12-12,1,1,107
AG-10330,CA-2017-107748,2017-10-12,Not,2017-12-12,2,2,108
AS-10225,CA-2017-117926,2017-08-12,Yes,2017-12-12,2,2,64
AS-10285,CA-2017-149706,2017-11-12,Not,2017-12-12,1,3,109
JL-15835,US-2017-167920,2017-09-12,Not,2017-12-12,4,2,110
BH-11710,CA-2017-135587,2017-07-12,Not,2017-12-12,4,1,111
RB-19705,US-2017-109484,2017-06-11,Not,2017-12-11,2,1,112
TS-21610,US-2017-107272,2017-05-11,Not,2017-12-11,2,1,104
DB-13120,CA-2017-160514,2017-12-11,Not,2017-12-11,2,1,113
EB-13705,CA-2017-134978,2017-12-11,Not,2017-12-11,3,2,3
NG-18430,CA-2017-130386,2017-12-11,Not,2017-12-11,1,1,114
NG-18355,US-2017-116659,2017-12-11,Not,2017-12-11,3,4,43
DB-13270,CA-2017-122504,2017-07-11,Yes,2017-12-11,2,2,115
EM-14140,CA-2017-134915,2017-12-11,Not,2017-12-11,2,4,116
LS-16975,CA-2017-164168,2017-12-11,Not,2017-12-11,1,1,18
BM-11650,CA-2017-152912,2017-09-11,Not,2017-12-11,3,2,117
SF-20965,CA-2017-122644,2017-12-11,Not,2017-12-11,3,1,26
TS-21505,CA-2017-152737,2017-07-11,Not,2017-12-11,2,1,68
CS-12355,CA-2017-164364,2017-12-11,Not,2017-12-11,2,1,77
JE-15610,US-2017-136707,2017-12-11,Not,2017-12-11,2,3,72
NC-18535,CA-2017-163874,2017-10-11,Not,2017-12-11,2,2,21
MB-17305,CA-2017-149944,2017-12-11,Not,2017-12-11,2,2,118
LB-16735,CA-2017-154088,2017-12-11,Not,2017-12-11,4,1,119
DJ-13510,US-2017-132220,2017-12-11,Not,2017-12-11,2,1,120
CC-12370,CA-2017-106691,2017-06-11,Not,2017-12-11,1,1,121
HG-14845,CA-2017-150504,2017-06-11,Not,2017-12-11,1,1,48
EP-13915,US-2017-125808,2017-12-11,Not,2017-12-11,2,2,122
DK-13375,CA-2017-166835,2017-12-11,Not,2017-12-11,3,2,123
SN-20710,CA-2017-152702,2017-12-10,Not,2017-12-10,1,1,58
SM-20320,CA-2017-149146,2017-12-10,Not,2017-12-10,4,4,124
ML-18040,CA-2017-168655,2017-12-10,Not,2017-12-10,2,1,19
NK-18490,CA-2017-126536,2017-12-10,Not,2017-12-10,2,3,9
CR-12820,US-2017-136868,2017-06-10,Not,2017-12-10,3,1,22
DB-13210,CA-2017-152709,2017-07-10,Not,2017-12-10,1,1,101
RW-19690,CA-2017-112431,2017-12-10,Not,2017-12-10,2,2,10
SP-20860,CA-2017-169362,2017-12-10,Not,2017-12-10,1,3,125
NP-18670,CA-2017-150091,2017-12-10,Not,2017-12-10,3,1,126
MG-17650,CA-2017-152933,2017-12-10,Not,2017-12-10,1,1,18
NF-18385,CA-2017-130505,2017-12-10,Not,2017-12-10,3,4,127
CA-12265,CA-2017-169607,2017-12-10,Not,2017-12-10,3,3,3
RC-19960,CA-2017-112774,2017-11-09,Not,2017-12-09,4,3,88
JM-15535,CA-2017-103611,2017-12-09,Not,2017-12-09,2,3,72
BF-11080,CA-2017-140676,2017-12-09,Not,2017-12-09,3,3,128
RD-19900,CA-2017-124401,2017-07-09,Yes,2017-12-09,2,1,112
KF-16285,CA-2017-149559,2017-11-09,Not,2017-12-09,2,4,24
EB-14110,CA-2017-149895,2017-08-09,Not,2017-12-09,3,1,67
DJ-13510,CA-2017-108749,2017-12-09,Not,2017-12-09,3,3,129
JM-15865,US-2017-109582,2017-12-09,Not,2017-12-09,2,2,72
AR-10345,CA-2017-126396,2017-08-09,Not,2017-12-09,1,2,121
JA-15970,US-2017-150070,2017-07-09,Not,2017-12-09,2,1,130
DM-12955,CA-2017-128769,2017-07-09,Not,2017-12-09,4,1,7
RH-19495,CA-2017-106537,2017-12-08,Not,2017-12-08,4,1,131
JW-15955,CA-2017-117023,2017-07-08,Not,2017-12-08,3,1,132
MC-17575,CA-2017-115175,2017-07-08,Not,2017-12-08,2,1,133
JM-16195,CA-2017-158169,2017-12-08,Not,2017-12-08,2,3,134
GM-14455,CA-2017-151981,2017-06-08,Not,2017-12-08,3,1,135
BB-11545,US-2017-118941,2017-12-08,Not,2017-12-08,3,4,117
DK-12895,CA-2017-152310,2017-12-08,Not,2017-12-08,2,1,11
TD-20995,CA-2017-134306,2017-08-07,Not,2017-12-07,3,1,136
NS-18640,CA-2017-115651,2017-09-07,Not,2017-12-07,1,3,137
VF-21715,CA-2017-138464,2017-08-07,Not,2017-12-07,2,1,77
HE-14800,CA-2017-140480,2017-08-07,Not,2017-12-07,3,1,138
CS-11860,CA-2017-106047,2017-12-07,Not,2017-12-07,3,1,25
MR-17545,CA-2017-111759,2017-08-07,Not,2017-12-07,2,1,11
Dl-13600,US-2017-155299,2017-08-06,Not,2017-12-06,1,1,139
ME-17320,CA-2017-148474,2017-12-06,Not,2017-12-06,4,1,140
BC-11125,US-2017-120418,2017-11-06,Not,2017-12-06,2,3,141
SB-20170,CA-2017-108441,2017-12-06,Not,2017-12-06,3,1,22
LC-16885,CA-2017-143861,2017-12-06,Not,2017-12-06,4,1,142
HG-15025,CA-2017-117821,2017-12-06,Not,2017-12-06,3,1,143
SB-20185,CA-2017-119424,2017-12-06,Not,2017-12-06,2,2,144
TS-21610,CA-2017-124191,2017-12-06,Not,2017-12-06,1,2,137
MD-17350,CA-2017-149181,2017-08-05,Not,2017-12-05,3,1,26
AC-10420,US-2017-158218,2017-12-05,Not,2017-12-05,1,2,145
PS-19045,CA-2017-133865,2017-08-05,Not,2017-12-05,2,1,122
CK-12205,CA-2017-104577,2017-12-05,Not,2017-12-05,3,1,146
LP-17080,CA-2017-133823,2017-11-05,Not,2017-12-05,2,4,11
DJ-13510,CA-2017-156895,2017-08-05,Not,2017-12-05,3,1,95
AB-10060,CA-2017-159688,2017-07-05,Not,2017-12-05,2,1,102
JP-16135,US-2017-106796,2017-12-05,Not,2017-12-05,3,1,147
CS-12175,CA-2017-117632,2017-12-05,Not,2017-12-05,2,1,68
JH-15910,CA-2017-152226,2017-12-05,Not,2017-12-05,3,1,100
CA-12775,CA-2017-122175,2017-12-05,Not,2017-12-05,3,2,148
MM-18055,US-2017-104451,2017-08-05,Not,2017-12-05,2,2,9
CS-12400,US-2017-100930,2017-07-04,Not,2017-12-04,4,1,149
BD-11320,CA-2017-122735,2017-12-04,Not,2017-12-04,3,2,45
KL-16645,CA-2017-112900,2017-09-04,Not,2017-12-04,1,2,150
AH-10120,CA-2017-150987,2017-08-04,Not,2017-12-04,2,1,9
NH-18610,US-2017-136721,2017-08-04,Not,2017-12-04,1,1,151
ML-17755,CA-2017-107265,2017-06-04,Not,2017-12-04,1,1,152
MG-17890,CA-2017-136672,2017-07-03,Not,2017-12-03,3,1,153
KB-16585,CA-2017-159352,2017-12-03,Not,2017-12-03,3,1,136
BS-11380,CA-2017-116288,2017-12-03,Not,2017-12-03,2,1,68
SH-20395,CA-2017-110884,2017-07-03,Not,2017-12-03,3,1,22
GA-14725,CA-2017-152786,2017-12-03,Not,2017-12-03,4,1,154
DW-13540,CA-2017-148642,2017-06-03,Not,2017-12-03,1,1,48
SP-20545,US-2017-101840,2017-06-02,Not,2017-12-02,3,1,3
DA-13450,US-2017-158512,2017-12-01,Not,2017-12-01,3,2,155
LS-16945,CA-2017-108000,2017-12-01,Not,2017-12-01,2,1,9
DB-13120,US-2017-148551,2017-12-01,Not,2017-12-01,1,1,125
HP-14815,CA-2017-111689,2017-11-30,Not,2017-11-30,3,2,3
SW-20275,CA-2017-119305,2017-11-30,Not,2017-11-30,4,1,92
LT-17110,CA-2017-122700,2017-11-26,Not,2017-11-30,3,1,26
AH-10075,CA-2017-165029,2017-11-26,Not,2017-11-30,4,1,156
ME-17725,CA-2017-116645,2017-11-30,Not,2017-11-30,3,1,138
ML-17755,US-2017-120089,2017-11-30,Not,2017-11-30,3,4,62
FM-14290,CA-2017-146535,2017-11-24,Not,2017-11-30,4,1,110
CC-12610,CA-2017-155957,2017-11-26,Not,2017-11-30,3,1,26
PN-18775,US-2017-148768,2017-11-30,Not,2017-11-30,4,2,157
SC-20800,CA-2017-102267,2017-11-30,Not,2017-11-30,1,1,158
SC-20380,CA-2017-142090,2017-11-30,Not,2017-11-30,4,1,159
FG-14260,CA-2017-155607,2017-11-26,Not,2017-11-30,3,1,5
VP-21730,CA-2017-105333,2017-11-30,Not,2017-11-30,3,1,160
MZ-17335,CA-2017-107314,2017-11-30,Not,2017-11-30,2,3,64
RP-19390,CA-2017-103352,2017-11-27,Not,2017-11-30,3,2,160
BP-11095,CA-2017-137365,2017-11-30,Not,2017-11-30,1,2,161
HZ-14950,CA-2017-124765,2017-11-25,Not,2017-11-30,4,1,106
RO-19780,CA-2017-150266,2017-11-25,Not,2017-11-30,1,1,121
JG-15310,CA-2017-103765,2017-11-24,Not,2017-11-30,1,1,20
TB-21625,US-2017-165456,2017-11-30,Not,2017-11-30,3,3,67
BS-11590,US-2017-109610,2017-11-25,Not,2017-11-30,4,2,17
JL-15835,CA-2017-164028,2017-11-24,Not,2017-11-30,2,1,68
BM-11650,CA-2017-102519,2017-11-27,Yes,2017-11-29,1,3,63
GT-14755,CA-2017-130526,2017-11-26,Not,2017-11-29,1,3,58
MV-17485,CA-2017-169894,2017-11-24,Yes,2017-11-29,2,2,59
SC-20440,CA-2017-131366,2017-11-24,Not,2017-11-29,3,1,123
BD-11500,US-2017-133312,2017-11-25,Not,2017-11-29,2,1,68
EB-13750,CA-2017-161459,2017-11-25,Yes,2017-11-29,2,2,162
DL-13315,CA-2017-155159,2017-11-25,Not,2017-11-29,4,2,156
MN-17935,CA-2017-100097,2017-11-26,Not,2017-11-29,3,2,5
TT-21070,CA-2017-108035,2017-11-29,Not,2017-11-29,4,1,163
JM-15250,CA-2017-119004,2017-11-23,Not,2017-11-28,4,1,79
GT-14710,CA-2017-101945,2017-11-24,Not,2017-11-28,1,1,121
RB-19795,US-2017-110576,2017-11-28,Not,2017-11-28,3,1,87
TS-21370,CA-2017-166436,2017-11-24,Not,2017-11-28,3,1,22
RH-19495,CA-2017-121538,2017-11-28,Not,2017-11-28,2,3,164
DG-13300,CA-2017-123372,2017-11-28,Not,2017-11-28,3,1,22
LS-16975,CA-2017-117702,2017-11-28,Not,2017-11-28,3,1,128
EP-13915,CA-2017-131303,2017-11-28,Not,2017-11-28,2,1,86
LS-17245,CA-2017-135307,2017-11-26,Not,2017-11-27,1,3,165
LW-16990,CA-2017-101245,2017-11-27,Not,2017-11-27,2,1,64
DB-13615,CA-2017-132185,2017-11-27,Not,2017-11-27,4,1,166
HG-15025,CA-2017-146724,2017-11-20,Not,2017-11-27,1,1,167
SZ-20035,CA-2017-129000,2017-11-25,Not,2017-11-27,1,2,168
PG-18820,CA-2017-123701,2017-11-24,Not,2017-11-27,2,3,9
CM-12385,CA-2017-119746,2017-11-23,Not,2017-11-27,1,1,137
BD-11320,CA-2017-107125,2017-11-27,Not,2017-11-27,2,1,74
DO-13645,CA-2017-133207,2017-11-27,Not,2017-11-27,2,1,72
AH-10210,CA-2017-166919,2017-11-23,Not,2017-11-27,1,1,48
JR-16210,CA-2017-159506,2017-11-27,Not,2017-11-27,1,1,1
CS-12250,CA-2017-148992,2017-11-23,Not,2017-11-27,1,1,98
JM-15265,CA-2017-149160,2017-11-23,Not,2017-11-26,1,2,168
BT-11680,US-2017-161193,2017-11-20,Not,2017-11-26,3,1,43
AF-10870,US-2017-139969,2017-11-19,Not,2017-11-26,1,1,57
RS-19765,CA-2017-128300,2017-11-24,Not,2017-11-26,4,2,169
FH-14275,CA-2017-107832,2017-11-23,Not,2017-11-26,3,2,87
FO-14305,CA-2017-144036,2017-11-22,Not,2017-11-26,1,1,121
MD-17860,CA-2017-153654,2017-11-24,Not,2017-11-26,4,2,166
TT-21460,CA-2017-141439,2017-11-26,Not,2017-11-26,1,1,170
JP-15460,CA-2017-156622,2017-11-23,Not,2017-11-26,1,3,48
BP-11230,CA-2017-142888,2017-11-21,Yes,2017-11-25,2,1,171
KA-16525,US-2017-110996,2017-11-20,Not,2017-11-25,2,1,172
LC-16930,US-2017-137491,2017-11-19,Not,2017-11-25,1,1,173
SW-20275,CA-2017-107874,2017-11-21,Not,2017-11-25,3,1,22
BF-11005,CA-2017-103380,2017-11-21,Yes,2017-11-25,2,1,174
SC-20050,CA-2017-154123,2017-11-20,Not,2017-11-25,4,1,175
JH-15430,US-2017-108014,2017-11-19,Not,2017-11-25,3,1,176
PJ-18835,CA-2017-105130,2017-11-21,Not,2017-11-25,2,1,68
CK-12205,CA-2017-110443,2017-11-21,Not,2017-11-25,2,1,177
DC-12850,CA-2017-167017,2017-11-23,Not,2017-11-25,1,3,178
TZ-21580,CA-2017-101665,2017-11-25,Not,2017-11-25,2,1,68
ME-17320,CA-2017-143434,2017-11-18,Not,2017-11-24,1,1,179
MC-18100,CA-2017-126242,2017-11-19,Not,2017-11-24,2,1,10
TD-20995,CA-2017-103156,2017-11-23,Not,2017-11-24,3,3,87
CC-12475,CA-2017-100811,2017-11-21,Not,2017-11-24,3,3,93
KA-16525,CA-2017-168641,2017-11-24,Not,2017-11-24,3,1,22
ES-14020,CA-2017-103499,2017-11-20,Not,2017-11-24,4,1,39
GG-14650,CA-2017-118122,2017-11-17,Yes,2017-11-24,2,1,11
KH-16330,CA-2017-120404,2017-11-20,Not,2017-11-24,3,2,22
BG-11695,CA-2017-105543,2017-11-24,Not,2017-11-24,1,4,180
PR-18880,CA-2017-162250,2017-11-24,Not,2017-11-24,2,4,64
MY-17380,US-2017-128118,2017-11-24,Not,2017-11-24,4,1,181
BP-11290,CA-2017-137505,2017-11-24,Not,2017-11-24,2,4,31
JH-15910,US-2017-152380,2017-11-19,Not,2017-11-23,1,1,98
JW-15220,US-2017-158946,2017-11-18,Not,2017-11-23,3,1,182
CS-12355,CA-2017-165687,2017-11-17,Not,2017-11-23,4,1,183
AB-10105,CA-2017-101042,2017-11-19,Not,2017-11-23,4,1,175
JB-16000,CA-2017-124674,2017-11-17,Not,2017-11-23,1,1,184
JD-16150,CA-2017-168858,2017-11-19,Not,2017-11-23,3,1,160
AF-10870,CA-2017-167871,2017-11-18,Not,2017-11-23,4,1,185
DD-13570,CA-2017-110926,2017-11-19,Not,2017-11-23,4,1,186
JS-15685,CA-2017-104864,2017-11-18,Not,2017-11-23,4,2,187
RD-19930,CA-2017-160122,2017-11-18,Not,2017-11-23,1,1,98
AS-10135,CA-2017-162929,2017-11-19,Not,2017-11-22,3,3,22
LP-17080,CA-2017-118731,2017-11-20,Not,2017-11-22,2,2,9
SW-20275,CA-2017-137022,2017-11-16,Not,2017-11-22,2,1,188
HL-15040,CA-2017-166709,2017-11-17,Not,2017-11-22,3,1,138
CD-11920,CA-2017-111556,2017-11-20,Yes,2017-11-22,3,3,22
DK-13090,CA-2017-104913,2017-11-18,Not,2017-11-22,3,1,132
RB-19435,CA-2017-146458,2017-11-19,Not,2017-11-22,4,2,189
VW-21775,CA-2017-128265,2017-11-17,Not,2017-11-22,3,2,160
MB-18085,CA-2017-122945,2017-11-16,Not,2017-11-22,2,1,190
JH-15430,CA-2017-121818,2017-11-20,Not,2017-11-21,4,3,159
AB-10150,CA-2017-158876,2017-11-19,Not,2017-11-21,1,2,191
CD-12280,US-2017-132444,2017-11-18,Not,2017-11-21,2,3,21
SC-20770,CA-2017-112529,2017-11-19,Not,2017-11-21,1,3,107
EK-13795,CA-2017-108091,2017-11-16,Not,2017-11-21,2,1,192
EG-13900,CA-2017-141719,2017-11-17,Not,2017-11-21,1,2,193
MH-18115,US-2017-114657,2017-11-16,Not,2017-11-21,3,1,194
NC-18415,CA-2017-131254,2017-11-19,Not,2017-11-21,1,3,52
KH-16330,CA-2017-158120,2017-11-17,Not,2017-11-21,2,1,195
CK-12595,CA-2017-100902,2017-11-17,Not,2017-11-21,4,1,79
CC-12370,US-2017-155866,2017-11-17,Not,2017-11-21,3,1,160
HZ-14950,CA-2017-157420,2017-11-21,Not,2017-11-21,1,4,52
TB-21625,US-2017-116505,2017-11-17,Not,2017-11-21,3,2,196
BS-11380,CA-2017-160633,2017-11-16,Not,2017-11-21,3,1,197
RA-19885,CA-2017-163629,2017-11-17,Not,2017-11-21,4,1,198
KD-16345,CA-2017-121468,2017-11-19,Not,2017-11-20,2,3,199
